product_id,product_name,brand,category,subcategory,base_cost,retail_price,margin_amount,margin_pct,warranty_months,launch_date,discontinued_flag,supplier_country,product_rating,created_at,updated_at
27,Pattern Take,Lenovo,Sports,Team Sports,1104.17,2505.51,1401.34,55.93,6.0,2021-10-11,False,Azerbaijan,2.3,2020-08-05 10:37:44,2025-10-28 07:58:35
28,Fish Eye,Sony,Fashion,Men,,163.76,94.46,57.68,6.0,2020-11-10,,Guyana,1.5,2019-01-18 01:02:40,2025-10-28 14:24:03
3,Part Thought,Apple,Fashion,Footwear,249.83,573.6,323.77,,12.0,2023-11-28,,Azerbaijan,,2020-03-02 06:06:11,2025-12-02 19:09:07
30,Important Easy,Philips,Sports,Outdoor,580.19,1218.34,638.15,52.38,,2019-10-18,,Iraq,,2020-01-22 20:17:24,2025-06-01 23:51:37
31,Late Along,Nike,Sports,Team Sports,1036.8,1907.63,870.83,,,2024-09-24,,Morocco,3.1,2020-05-04 19:45:56,2025-05-28 00:55:44
16,Data Step,Nike,Electronics,Tablets,1175.18,1440.83,265.65,,24.0,2019-08-30,False,Costa Rica,1.6,2020-08-11 20:58:49,2025-11-16 23:13:19
33,Including Either,Bosch,Home Appliances,Cleaning,731.03,939.77,,22.21,0.0,2019-08-30,,Kiribati,4.3,2019-10-13 11:10:04,2025-06-27 08:07:31
34,Fly Center,Samsung,Sports,Outdoor,1327.5,2696.39,,50.77,36.0,2020-07-21,True,Philippines,2.3,2018-08-19 09:42:42,2025-04-01 09:50:51
35,Direction Two,LG,Sports,Fitness,764.37,935.63,171.26,18.3,24.0,2023-02-28,,Equatorial Guinea,3.7,2020-09-01 16:38:51,2025-07-16 16:07:30
36,Truth Either,Philips,Electronics,Smartphones,220.24,,,,36.0,2022-05-17,,Colombia,,2019-11-12 01:06:28,2025-05-11 02:25:21
6,Prevent Reality,,Sports,Outdoor,878.47,1968.22,1089.75,55.37,0.0,2021-01-22,,Panama,2.7,2020-09-02 19:35:15,2025-08-26 02:17:46
38,Its Southern,Sony,Sports,Fitness,1232.25,2835.55,1603.3,56.54,12.0,2024-03-31,True,Christmas Island,,2018-02-01 11:31:28,2026-01-14 13:44:02
39,Industry Cup,Xiaomi,Sports,Fitness,,709.15,103.16,14.55,12.0,2019-10-05,False,Somalia,1.8,2019-05-05 00:34:45,2025-10-21 06:49:50
19,Mean Teach,Lenovo,Sports,Team Sports,553.5,1003.74,450.24,44.86,24.0,2023-07-02,False,Heard Island and McDonald Islands,4.0,2019-05-10 04:53:15,2025-09-17 20:10:35
41,North Right,Nike,Home Appliances,Laundry,272.19,483.41,211.22,43.69,36.0,2020-08-26,,Gibraltar,,2020-10-27 15:33:14,2025-06-18 22:57:22
42,Commercial Sea,,Electronics,Laptops,1394.97,2604.42,1209.45,,36.0,2018-06-28,False,Liechtenstein,3.3,2018-11-23 15:10:29,2025-02-15 02:07:05
26,Unit Listen,LG,Electronics,Smartphones,1203.27,2653.68,1450.41,54.66,36.0,2021-09-14,True,Venezuela,1.5,2019-03-11 19:15:02,2025-04-09 09:03:24
44,Company Plan,Samsung,Sports,Outdoor,1324.73,1881.23,556.5,29.58,0.0,2020-09-04,True,Puerto Rico,5.0,2020-02-15 21:02:23,2025-10-05 21:42:29
45,Cold Wide,Samsung,Electronics,Tablets,1420.25,3331.76,1911.51,57.37,24.0,2018-03-23,,Somalia,2.3,2020-06-21 12:05:39,2025-02-11 23:10:10
46,Most Attorney,Adidas,Sports,Outdoor,1142.7,2326.68,1183.98,,,2018-02-15,,Philippines,2.3,2018-03-12 08:57:00,2025-01-24 17:39:08
47,Model Source,Adidas,Home Appliances,Cleaning,9.18,16.53,,44.46,,2020-03-09,,Hungary,3.3,2020-08-15 02:31:02,2025-11-07 21:33:07
48,Shake Consumer,Nike,Sports,Team Sports,519.15,1264.23,745.08,58.94,,2019-02-11,,British Virgin Islands,4.6,2020-11-24 06:01:43,2025-02-02 19:26:13
49,Draw Later,,Fashion,Women,839.48,1773.26,933.78,52.66,24.0,2018-11-01,,Burundi,3.1,2020-07-26 07:25:39,2025-03-11 17:06:06
50,Turn Record,Puma,Fashion,Footwear,72.39,92.68,20.29,,0.0,2021-11-26,False,Guyana,3.4,2020-04-17 00:26:58,2025-10-23 13:54:48
51,Example Agree,Bosch,Sports,Fitness,740.64,1234.66,494.02,40.01,6.0,2020-09-03,False,Turks and Caicos Islands,3.6,2018-07-11 10:10:54,2025-05-21 15:10:06
22,Oil Front,Apple,Home Appliances,Kitchen,1256.36,2618.87,,52.03,36.0,2018-03-05,,Montenegro,3.2,2020-06-24 04:56:04,2025-06-13 07:55:05
53,Say Wife,Sony,Electronics,Laptops,121.58,,,,24.0,2020-05-10,True,Guam,1.2,2020-03-02 17:33:59,2025-07-24 11:59:19
54,Cup Individual,Samsung,Fashion,Women,1364.21,2132.29,768.08,36.02,36.0,2023-01-13,True,Angola,3.1,2020-05-06 20:43:06,2025-01-20 12:33:56
55,Woman Policy,Sony,Fashion,Women,188.9,458.51,269.61,58.8,,2024-06-24,True,Saint Martin,,2020-08-06 15:18:22,2026-01-08 11:19:23
56,Talk Floor,Philips,Home Appliances,Kitchen,319.6,427.81,108.21,25.29,24.0,2021-11-07,True,Albania,,2020-06-20 23:32:30,2025-03-31 18:15:58
57,Model Mind,,Sports,Team Sports,317.11,623.48,306.37,49.14,24.0,2021-04-16,False,Barbados,2.9,2019-01-19 19:29:14,2025-10-09 02:43:22
58,City Last,Nike,Sports,Outdoor,1169.73,1972.49,802.76,40.7,0.0,2023-06-13,False,Trinidad and Tobago,3.6,2018-06-08 05:06:46,2025-11-27 00:47:19
59,Recognize None,Puma,Home Appliances,Cleaning,261.74,307.94,46.2,15.0,0.0,2018-09-22,True,Liechtenstein,1.7,2020-02-18 12:21:38,2025-02-12 08:41:57
60,Report Certain,Philips,Electronics,Laptops,768.19,944.44,176.25,18.66,12.0,2020-10-14,,British Virgin Islands,3.1,2019-04-20 21:25:12,2025-09-07 17:53:06
61,Sure Tax,Adidas,Electronics,Laptops,237.84,429.44,191.6,44.62,6.0,2021-09-26,True,Mozambique,1.6,2018-07-02 05:13:25,2025-06-01 04:49:54
62,Laugh Effort,,Electronics,Laptops,,2651.59,1368.53,51.61,36.0,2019-10-20,True,Uruguay,4.2,2018-10-15 11:34:06,2025-04-09 06:21:59
63,Couple Prove,LG,Electronics,Smartphones,106.82,236.58,129.76,54.85,0.0,2024-05-04,True,Svalbard & Jan Mayen Islands,1.8,2019-03-19 14:50:48,2025-12-19 06:21:36
64,Purpose Movement,Puma,Home Appliances,Cleaning,1344.38,2506.18,1161.8,46.36,0.0,2019-08-06,False,Dominica,,2018-03-08 14:03:33,2025-09-15 20:06:03
65,Green Resource,Samsung,Fashion,Men,1129.1,1522.37,393.27,25.83,36.0,2023-06-01,,Mayotte,2.5,2018-09-29 00:58:23,2025-02-05 07:57:56
66,Suffer Law,Adidas,Electronics,Smartphones,266.96,306.0,39.04,,0.0,2021-01-09,True,Botswana,2.0,2020-03-20 11:08:00,2025-03-12 01:59:44
67,Cost Heart,Nike,Home Appliances,Kitchen,452.89,798.07,345.18,43.25,36.0,2022-10-10,,Tunisia,,2019-06-07 17:17:46,2025-07-15 12:30:40
68,Economic Into,Xiaomi,Fashion,Men,,3028.52,1564.52,51.66,24.0,2023-04-09,True,Brunei Darussalam,4.5,2019-01-05 18:42:34,2025-12-16 21:05:10
69,Apply Agent,,Home Appliances,Laundry,189.16,308.29,119.13,38.64,0.0,2023-04-03,True,Luxembourg,2.0,2018-04-16 22:25:18,2025-06-19 19:29:16
70,Suffer North,Samsung,Sports,Team Sports,214.62,401.08,186.46,46.49,36.0,2024-12-16,,Israel,4.2,2018-05-24 03:02:05,2025-12-24 18:40:52
71,As Statement,Puma,Electronics,Laptops,1480.14,2416.07,935.93,,,2022-11-10,,Venezuela,,2019-02-08 18:55:42,2025-06-21 14:47:45
72,Meeting Play,Samsung,Electronics,Tablets,632.72,753.61,120.89,16.04,12.0,2019-09-21,True,Czech Republic,2.7,2020-12-05 22:05:15,2025-10-14 02:37:43
73,Morning Business,Sony,Electronics,Laptops,62.09,,,,12.0,2018-09-10,True,Chad,2.0,2020-03-26 22:16:01,2025-10-02 20:39:45
74,Resource Quickly,Samsung,Fashion,Women,1476.17,3488.26,2012.09,57.68,6.0,2018-10-03,,Lao People's Democratic Republic,3.8,2018-05-09 19:03:19,2025-05-04 04:14:48
75,Simply Seat,Puma,Home Appliances,Cleaning,109.7,172.73,63.03,36.49,24.0,2019-09-04,True,British Indian Ocean Territory (Chagos Archipelago),,2020-07-25 09:47:16,2025-06-25 09:26:13
76,Decade Source,Xiaomi,Sports,Fitness,1270.86,2225.07,954.21,42.88,12.0,2024-03-15,True,Peru,2.2,2019-01-04 06:58:02,2025-06-13 06:43:42
77,Respond Help,Adidas,Sports,Team Sports,1179.09,1861.38,682.29,36.66,,2021-01-23,True,Bahamas,2.7,2019-01-09 22:20:31,2026-01-14 09:40:25
78,Civil Or,,Electronics,Tablets,1370.88,2075.58,704.7,33.95,6.0,2019-04-17,False,Montserrat,1.9,2020-04-21 21:19:51,2025-12-26 15:32:24
79,Simple Mean,Nike,Electronics,Accessories,436.78,,,,,2023-09-02,False,India,,2019-09-26 03:32:13,2025-12-01 16:09:43
80,Popular Garden,Puma,Home Appliances,Laundry,,2522.23,1449.85,57.48,,2019-07-26,,Gibraltar,2.2,2019-09-26 02:13:26,2025-05-16 14:50:12
81,Central Style,Samsung,Electronics,Smartphones,1193.9,2235.4,1041.5,46.59,0.0,2021-07-12,True,Belarus,4.7,2018-02-02 01:04:27,2025-07-02 10:54:26
82,Music How,Nike,Electronics,Smartphones,976.21,2063.43,1087.22,52.69,0.0,2019-11-24,True,Romania,1.3,2020-03-01 19:58:34,2025-01-26 19:20:16
83,Reflect North,Bosch,Sports,Team Sports,515.35,1132.03,616.68,,24.0,2022-10-01,False,Wallis and Futuna,4.5,2019-03-30 12:25:32,2025-04-05 09:56:02
84,Late Capital,,Home Appliances,Cleaning,659.58,1334.18,674.6,50.56,36.0,2023-12-14,True,French Polynesia,,2018-08-01 05:44:02,2025-03-23 14:08:53
85,Stage Friend,Samsung,Home Appliances,Kitchen,1474.78,1955.48,480.7,24.58,36.0,2021-01-10,False,Cocos (Keeling) Islands,,2019-01-13 20:47:39,2025-11-05 04:31:11
86,Head Already,Xiaomi,Fashion,Footwear,,1566.06,155.46,9.93,0.0,2021-10-08,,Cayman Islands,3.7,2019-04-12 11:13:03,2025-10-09 19:27:35
38,Discover Should,Sony,Fashion,Footwear,,2280.44,785.26,34.43,36.0,2022-07-05,False,Netherlands,2.7,2020-12-15 15:17:04,2026-01-10 05:38:21
88,Even She,Bosch,Fashion,Women,921.14,1029.61,108.47,10.54,6.0,2021-05-31,,Malaysia,2.4,2019-12-23 15:19:11,2025-12-17 08:11:52
89,Attack Western,Sony,Fashion,Men,1100.44,2424.75,1324.31,,24.0,2024-10-26,False,Tunisia,,2019-07-07 09:05:17,2025-06-29 04:51:57
90,Husband Soldier,Puma,Sports,Fitness,291.29,381.41,90.12,23.63,6.0,2022-12-28,False,Korea,4.3,2018-10-18 12:15:19,2025-09-04 16:18:37
91,Another While,,Fashion,Footwear,465.89,595.66,,21.79,36.0,2022-11-14,True,Faroe Islands,4.1,2020-10-23 16:40:42,2025-06-16 17:56:25
92,Deep Democrat,Adidas,Electronics,Accessories,1390.69,2335.53,944.84,40.46,0.0,2019-03-12,,Niger,,2018-05-25 09:06:55,2026-01-06 23:20:03
93,Customer Idea,,Fashion,Men,1122.15,2405.5,1283.35,53.35,24.0,2020-03-29,False,Guernsey,4.3,2019-10-28 04:25:06,2025-06-15 08:01:36
94,Industry Us,,Fashion,Men,1110.88,2361.96,1251.08,52.97,36.0,2022-03-10,True,Togo,,2019-01-14 08:48:25,2025-10-17 02:34:28
95,His Care,Bosch,Home Appliances,Cleaning,,,,,12.0,2023-12-13,True,British Indian Ocean Territory (Chagos Archipelago),3.4,2018-12-29 15:45:21,2025-12-18 15:13:26
96,Leader Current,LG,Home Appliances,Laundry,1207.1,1666.19,459.09,27.55,,2024-10-29,True,Togo,2.9,2020-11-27 14:45:20,2025-04-11 15:07:12
97,Sit Boy,Philips,Sports,Fitness,335.44,626.14,290.7,46.43,24.0,2019-02-28,,Antigua and Barbuda,3.9,2019-11-14 08:25:53,2025-01-31 10:37:36
98,Science Control,Philips,Electronics,Smartphones,1387.07,1649.03,,,6.0,2022-12-25,False,Puerto Rico,3.7,2018-09-08 11:48:08,2026-01-03 05:07:40
99,Always Offer,Nike,Fashion,Women,27.23,62.15,34.92,56.19,,2018-12-18,True,Macao,,2020-02-27 20:27:51,2025-06-25 19:27:36
100,Party Prepare,Apple,Fashion,Men,317.18,670.94,353.76,52.73,0.0,2018-06-06,True,Honduras,4.2,2020-07-23 12:34:55,2025-03-20 09:38:44
101,Guy Fine,Xiaomi,Fashion,Women,979.93,1896.4,916.47,,24.0,2021-07-23,True,Italy,,2020-06-05 14:57:28,2025-11-03 11:32:00
102,Road Health,Adidas,Electronics,Tablets,1024.52,1682.35,657.83,39.1,0.0,2022-03-22,False,Lesotho,3.7,2019-05-19 00:58:29,2025-06-25 20:05:53
103,Follow Surface,Bosch,Fashion,Footwear,152.59,365.51,212.92,58.25,0.0,2019-01-22,,South Georgia and the South Sandwich Islands,4.3,2020-06-14 20:55:43,2025-04-23 20:47:34
104,Life Major,Samsung,Home Appliances,Cleaning,1165.86,2788.53,1622.67,58.19,24.0,2022-07-26,False,Suriname,4.5,2018-06-10 17:45:36,2025-10-02 04:33:56
105,Have Over,Puma,Sports,Fitness,692.54,816.88,124.34,,,2020-06-12,,Niger,,2020-02-02 14:48:41,2025-06-15 00:25:09
106,Clearly International,Lenovo,Fashion,Footwear,,26.66,6.76,25.36,,2021-11-12,True,Northern Mariana Islands,,2020-09-14 02:38:13,2025-02-10 17:10:43
107,Church Success,LG,Sports,Team Sports,,1360.59,,38.96,12.0,2018-10-17,True,Afghanistan,,2019-10-17 16:18:39,2025-04-25 08:21:35
108,Firm Challenge,Puma,Electronics,Accessories,908.4,1339.05,430.65,32.16,6.0,2024-12-03,True,Luxembourg,4.9,2019-03-11 16:53:00,2025-05-23 15:37:36
109,Ago Health,Apple,Sports,Fitness,287.97,484.94,196.97,40.62,24.0,2019-07-23,True,Belarus,,2019-06-20 03:50:04,2026-01-16 14:44:36
110,Source Others,Samsung,Home Appliances,Kitchen,1295.18,1627.74,332.56,20.43,24.0,2023-04-03,,Botswana,3.3,2018-11-05 12:35:38,2025-10-09 13:23:21
111,Professional Industry,Xiaomi,Home Appliances,Kitchen,917.31,1056.49,139.18,13.17,0.0,2022-05-09,False,Cameroon,1.0,2020-09-08 12:15:33,2025-04-18 17:10:34
112,Crime Discussion,,Fashion,Men,304.12,485.32,181.2,37.34,12.0,2021-01-04,,American Samoa,4.5,2018-05-06 16:18:27,2025-03-25 02:10:46
113,Pm Page,Apple,Electronics,Accessories,819.95,1445.15,625.2,43.26,36.0,2021-12-13,True,Yemen,3.5,2019-09-26 00:54:59,2025-07-27 12:24:36
114,Man Officer,Sony,Sports,Fitness,125.85,253.11,127.26,50.28,24.0,2021-12-26,True,Wallis and Futuna,3.2,2020-09-08 23:23:41,2025-01-30 18:40:12
115,Somebody Hit,,Sports,Fitness,346.7,532.18,185.48,34.85,12.0,2020-08-26,True,United States Virgin Islands,3.4,2018-03-09 13:37:41,2025-11-05 20:10:56
116,Discussion Quite,Bosch,Fashion,Footwear,686.71,,,,24.0,2022-03-29,True,Belgium,1.3,2018-12-29 13:10:59,2025-11-14 11:07:28
117,Table Score,Sony,Electronics,Tablets,255.73,400.64,144.91,36.17,36.0,2021-02-22,False,Gabon,4.3,2019-02-22 10:36:59,2025-04-09 01:55:01
118,Group Most,LG,Sports,Team Sports,306.35,369.44,63.09,17.08,6.0,2020-01-29,,Denmark,1.5,2018-01-28 22:12:07,2026-01-15 15:11:27
119,Relationship Voice,Bosch,Electronics,Accessories,989.89,2277.91,1288.02,,,2018-06-25,,Isle of Man,3.0,2019-06-19 08:17:44,2025-03-01 06:05:12
120,Effort Mean,Puma,Electronics,Laptops,,925.73,440.15,47.55,24.0,2022-09-11,False,Serbia,,2019-02-08 21:12:10,2025-11-28 21:36:23
121,Thousand Respond,Sony,Fashion,Women,734.72,1814.5,1079.78,59.51,12.0,2022-06-23,False,Panama,1.2,2018-03-12 19:41:08,2025-12-21 20:32:44
122,Window Apply,Samsung,Fashion,Men,1184.0,2647.65,1463.65,55.28,,2023-04-11,False,Comoros,1.1,2019-02-21 11:07:34,2025-07-17 18:32:21
123,Similar Because,Apple,Home Appliances,Kitchen,933.21,1488.65,555.44,37.31,0.0,2023-07-28,True,Andorra,4.9,2019-06-28 04:25:30,2025-11-22 12:46:00
124,Rock Spend,Bosch,Electronics,Smartphones,593.92,1058.47,464.55,43.89,,2024-01-31,False,Svalbard & Jan Mayen Islands,,2019-06-19 07:10:23,2025-11-19 15:36:49
125,Out Pattern,LG,Electronics,Laptops,865.45,1991.36,1125.91,56.54,0.0,2022-02-27,,Brunei Darussalam,,2019-08-15 11:05:55,2025-03-25 13:08:48
126,At Indicate,Puma,Sports,Outdoor,,678.84,305.02,44.93,36.0,2022-01-10,,Svalbard & Jan Mayen Islands,2.3,2020-06-14 16:36:44,2025-06-28 00:52:50
127,Explain Under,Puma,Sports,Outdoor,979.14,2370.1,,58.69,24.0,2019-09-29,,Afghanistan,2.9,2019-03-26 16:41:29,2025-05-25 02:42:43
128,Goal Wall,LG,Fashion,Women,108.92,227.78,,52.18,,2022-01-13,False,Japan,3.3,2018-11-02 06:02:38,2025-12-03 10:00:29
129,Force Little,Puma,Electronics,Smartphones,237.53,297.66,60.13,20.2,24.0,2021-04-30,False,Montserrat,1.2,2018-11-27 05:29:45,2025-08-01 09:12:22
130,Vote Difficult,Philips,Electronics,Smartphones,586.72,,,,6.0,2020-10-16,True,Turkmenistan,1.4,2018-12-17 11:49:23,2025-05-19 11:15:16
131,Wear Anything,Adidas,Fashion,Men,169.64,332.65,163.01,49.0,24.0,2018-03-25,True,Guyana,,2019-06-07 07:30:09,2025-05-13 01:28:09
132,Push Almost,Nike,Home Appliances,Kitchen,567.1,860.84,293.74,34.12,24.0,2021-03-06,True,Holy See (Vatican City State),4.8,2020-06-22 18:27:38,2025-11-29 00:51:04
133,Medical Position,,Home Appliances,Cleaning,250.77,327.8,77.03,23.5,6.0,2018-03-25,,United States Minor Outlying Islands,1.8,2020-02-09 07:53:37,2025-08-27 02:34:22
134,Wife Wait,Xiaomi,Sports,Fitness,1139.93,1970.22,830.29,42.14,24.0,2024-01-15,,Italy,,2019-04-20 12:18:11,2025-07-24 14:13:27
135,Network Person,Sony,Home Appliances,Laundry,272.91,581.04,308.13,53.03,,2022-09-09,,Marshall Islands,2.0,2020-09-09 20:22:10,2025-05-31 02:18:43
136,Cold Cost,Nike,Home Appliances,Kitchen,230.09,391.03,160.94,,24.0,2024-07-27,True,Bahamas,,2019-10-29 12:34:00,2025-12-05 04:56:12
137,Send Indeed,LG,Sports,Outdoor,,936.57,217.25,23.2,0.0,2021-06-12,False,Martinique,4.5,2020-11-30 23:42:18,2025-05-18 14:20:28
138,From Note,Lenovo,Electronics,Laptops,,1116.89,542.94,48.61,12.0,2020-10-28,False,Kenya,4.7,2018-01-20 23:12:46,2025-08-12 14:36:28
139,Follow Future,Philips,Home Appliances,Cleaning,1083.95,2589.41,,58.14,6.0,2024-11-24,True,Anguilla,4.2,2019-11-07 20:22:06,2025-10-12 20:06:33
140,Front Mind,Samsung,Home Appliances,Laundry,1248.21,2855.58,1607.37,56.29,0.0,2023-01-24,,Marshall Islands,3.7,2018-05-24 05:03:18,2025-03-29 14:26:16
84,Huge Policy,Apple,Sports,Outdoor,316.98,759.0,,,,2024-05-06,False,Burkina Faso,3.6,2018-01-28 11:26:39,2025-10-21 17:53:41
142,Magazine Great,Bosch,Electronics,Laptops,1435.01,2839.41,1404.4,49.46,6.0,2023-02-07,,Norway,2.0,2018-07-31 23:05:50,2025-02-04 20:22:21
143,Analysis Room,Nike,Sports,Fitness,795.79,1586.91,791.12,49.85,36.0,2022-01-12,True,Latvia,4.0,2019-08-16 00:29:14,2025-11-19 22:51:20
144,Individual Item,,Home Appliances,Kitchen,492.04,827.36,335.32,40.53,6.0,2024-10-11,True,Sudan,4.1,2020-02-11 12:45:38,2025-10-03 10:38:01
145,Country Quickly,Xiaomi,Electronics,Accessories,372.05,608.46,236.41,38.85,,2021-07-12,,Niue,4.6,2019-09-02 14:20:45,2025-03-23 12:16:18
146,Paper Crime,,Sports,Team Sports,197.35,238.97,41.62,17.42,6.0,2019-08-27,,Solomon Islands,3.8,2019-08-25 17:17:36,2025-02-23 18:53:46
147,Subject Degree,Philips,Electronics,Tablets,1152.03,1455.32,303.29,20.84,36.0,2018-06-13,False,French Polynesia,3.6,2018-08-19 13:14:07,2025-06-28 10:26:10
148,Until Whom,LG,Home Appliances,Laundry,,806.18,172.01,,36.0,2022-01-25,,Tanzania,3.9,2019-01-20 09:41:47,2025-02-09 21:40:29
149,Hand Threat,Nike,Sports,Team Sports,1298.27,2908.73,1610.46,55.37,,2023-09-15,,Bosnia and Herzegovina,5.0,2020-09-28 18:46:45,2025-07-26 13:56:29
150,Arm Likely,Xiaomi,Fashion,Women,54.99,,,,24.0,2018-05-04,,American Samoa,2.9,2019-06-15 01:49:10,2025-12-07 08:06:31
151,Right Over,Bosch,Electronics,Tablets,1405.49,2833.67,1428.18,50.4,0.0,2020-11-07,True,Ethiopia,4.3,2020-11-24 13:27:04,2025-02-20 14:25:41
152,Put Computer,Adidas,Home Appliances,Kitchen,74.81,129.87,55.06,,,2018-08-22,False,Germany,1.7,2019-07-04 17:00:04,2025-08-18 01:08:49
153,Performance Feeling,,Electronics,Smartphones,1230.14,1589.85,359.71,22.63,0.0,2022-11-04,,Vietnam,2.8,2019-06-08 23:52:25,2025-07-09 20:17:18
154,Response Tree,Philips,Fashion,Men,572.5,1332.13,759.63,,12.0,2022-11-05,True,Netherlands,3.3,2018-12-19 02:21:11,2025-03-15 12:22:09
155,Water Need,Xiaomi,Home Appliances,Laundry,344.02,808.03,,57.42,36.0,2023-05-09,,Moldova,3.3,2020-09-03 22:56:26,2026-01-05 10:42:04
156,Remain Support,Lenovo,Sports,Team Sports,,16.06,5.98,37.24,0.0,2021-01-22,False,Christmas Island,5.0,2020-07-07 19:16:11,2025-11-22 01:20:48
157,Tax No,Adidas,Home Appliances,Laundry,563.23,885.0,,,6.0,2022-05-08,False,New Zealand,3.1,2019-09-18 13:38:50,2025-12-26 10:15:33
158,Difference Firm,Samsung,Home Appliances,Cleaning,,95.95,40.43,,24.0,2018-02-17,,Moldova,1.5,2019-06-18 09:31:24,2025-08-04 09:16:59
159,Develop Itself,Samsung,Sports,Fitness,896.33,2107.19,1210.86,57.46,6.0,2018-08-25,True,Solomon Islands,3.5,2019-08-31 18:45:24,2025-02-08 15:31:56
